	chr	start	end	strand	Stat	Parent files
Merged-chr16-95244146-1	chr16	95244046	95244246	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-57847130-1	chr3	57847030	57847230	+	22.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-127895864-1	chr3	127895764	127895964	+	23.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-44681029-1	chr16	44680929	44681129	+	12.9	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-90669230-1	chr3	90669130	90669330	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-138743324-1	chr3	138743224	138743424	+	22.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-16215651-1	chr16	16215551	16215751	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-111516937-1	chr12	111516837	111517037	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-81606130-1	chr10	81606030	81606230	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-84685208-1	chr18	84685108	84685308	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-86819179-1	chr12	86819079	86819279	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-84190142-1	chr12	84190042	84190242	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-81970410-1	chr12	81970310	81970510	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-60512352-1	chr12	60512252	60512452	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-52856353-1	chr12	52856253	52856453	+	12.9	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-24734084-1	chr12	24733984	24734184	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-8476145-1	chr12	8476045	8476245	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-3429972-1	chr12	3429872	3430072	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-3368282-1	chr12	3368182	3368382	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr5-124483138-1	chr5	124483038	124483238	+	25.799999	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-61086772-1	chr18	61086672	61086872	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-86712964-1	chr12	86712864	86713064	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-20971225-1	chr18	20971125	20971325	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr5-75978254-1	chr5	75978154	75978354	+	24.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-80554399-1	chr18	80554299	80554499	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-77938702-1	chr18	77938602	77938802	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr5-20932844-1	chr5	20932744	20932944	+	27.700001	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr5-139150266-1	chr5	139150166	139150366	+	24.9	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-63150647-1	chr18	63150547	63150747	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-35919511-1	chr18	35919411	35919611	+	14.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-56832749-1	chr18	56832649	56832849	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-27453672-1	chr3	27453572	27453772	+	20.299999	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-83168491-1	chr10	83168391	83168591	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-94640311-1	chr10	94640211	94640411	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-171329946-1	chr1	171329846	171330046	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-170913433-1	chr1	170913333	170913533	+	14.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-98948954-1	chr14	98948854	98949054	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-134098229-1	chr1	134098129	134098329	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-61556743-1	chr14	61556643	61556843	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-57746191-1	chr14	57746091	57746291	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-55765920-1	chr14	55765820	55766020	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-47298267-1	chr14	47298167	47298367	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-99314675-1	chr7	99314575	99314775	+	24.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-20912790-1	chr1	20912690	20912890	+	17.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-97742133-1	chr7	97742033	97742233	+	20.299999	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-29232283-1	chr7	29232183	29232383	+	24.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-24387565-1	chr7	24387465	24387665	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-16113933-1	chr7	16113833	16114033	+	16.6	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-6155972-1	chr7	6155872	6156072	+	20.299999	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-141455468-1	chr7	141455368	141455568	+	20.299999	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-143830422-1	chr7	143830322	143830522	+	21.200001	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-45370580-1	chr7	45370480	45370680	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-127026130-1	chr7	127026030	127026230	+	20.299999	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr7-44272764-1	chr7	44272664	44272864	+	19.4	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-29950984-1	chr14	29950884	29951084	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-76546467-1	chr12	76546367	76546567	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-19627855-1	chr14	19627755	19627955	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-20829877-1	chr14	20829777	20829977	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-97461479-1	chr16	97461379	97461579	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-95449400-1	chr16	95449300	95449500	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-95063889-1	chr3	95063789	95063989	+	16.6	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-84720769-1	chr16	84720669	84720869	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-57606592-1	chr16	57606492	57606692	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-79591498-1	chr3	79591398	79591598	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-79532266-1	chr3	79532166	79532366	+	16.6	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-68609028-1	chr3	68608928	68609128	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-57736042-1	chr3	57735942	57736142	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-20766779-1	chr14	20766679	20766879	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-48994001-1	chr16	48993901	48994101	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-44119815-1	chr16	44119715	44119915	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-43744371-1	chr9	43744271	43744471	+	16.6	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-37654096-1	chr16	37653996	37654196	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-36465572-1	chr16	36465472	36465672	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-35869388-1	chr16	35869288	35869488	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-118114994-1	chr9	118114894	118115094	+	20.299999	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-58276069-1	chr9	58275969	58276169	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-34593626-1	chr9	34593526	34593726	+	20.299999	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-120825161-1	chr9	120825061	120825261	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-44678952-1	chr16	44678852	44679052	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-86174114-1	chr10	86174014	86174214	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-71832518-1	chr12	71832418	71832618	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-69415087-1	chr12	69414987	69415187	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-34940934-1	chr18	34940834	34941034	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-32176450-1	chr18	32176350	32176550	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr5-25101145-1	chr5	25101045	25101245	+	21.200001	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-12539533-1	chr18	12539433	12539633	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-11921989-1	chr18	11921889	11922089	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr5-140821167-1	chr5	140821067	140821267	+	22.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-80611891-1	chr18	80611791	80611991	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-76053346-1	chr18	76053246	76053446	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-75353789-1	chr18	75353689	75353889	+	12.9	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-39196710-1	chr18	39196610	39196810	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-75262386-1	chr18	75262286	75262486	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-73997391-1	chr18	73997291	73997491	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-62177491-1	chr18	62177391	62177591	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-62025341-1	chr18	62025241	62025441	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-78054781-1	chr10	78054681	78054881	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-69796702-1	chr10	69796602	69796802	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-67512415-1	chr10	67512315	67512515	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-22747134-1	chr10	22747034	22747234	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-7391261-1	chr10	7391161	7391361	+	14.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-111208355-1	chr10	111208255	111208455	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-74268483-1	chr18	74268383	74268583	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-69814276-1	chr12	69814176	69814376	+	7.38	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-39319323-1	chr18	39319223	39319423	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr18-60763078-1	chr18	60762978	60763178	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-69198025-1	chr12	69197925	69198125	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-52892808-1	chr12	52892708	52892908	+	7.38	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-28649689-1	chr12	28649589	28649789	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
